,time,open,high,low,close,volume
3042,2025-01-01 16:30:00+00:00,191.1,191.38,190.51,190.54,16005.863
3043,2025-01-01 16:45:00+00:00,190.55,190.95,190.08,190.51,11233.561
3044,2025-01-01 17:00:00+00:00,190.52,190.65,189.62,189.73,24076.2
3045,2025-01-01 17:15:00+00:00,189.73,189.89,189.25,189.85,15358.926
3046,2025-01-01 17:30:00+00:00,189.84,190.32,189.69,190.12,16891.944
3047,2025-01-01 17:45:00+00:00,190.11,190.65,189.53,190.64,10751.115
3048,2025-01-01 18:00:00+00:00,190.63,190.74,189.89,190.35,11299.542
3049,2025-01-01 18:15:00+00:00,190.34,190.9,190.18,190.76,10543.054
3050,2025-01-01 18:30:00+00:00,190.76,192.09,190.59,191.86,20995.459
3051,2025-01-01 18:45:00+00:00,191.87,192.23,191.39,191.68,19524.566
3052,2025-01-01 19:00:00+00:00,191.69,192.7,191.49,192.42,17325.327
3053,2025-01-01 19:15:00+00:00,192.42,192.67,192.0,192.37,12501.327
3054,2025-01-01 19:30:00+00:00,192.36,192.66,191.53,192.6,16818.124
3055,2025-01-01 19:45:00+00:00,192.6,193.91,192.31,193.1,55541.121
3056,2025-01-01 20:00:00+00:00,193.1,194.1,193.1,193.71,22714.07
3057,2025-01-01 20:15:00+00:00,193.71,193.99,193.24,193.77,18214.06
3058,2025-01-01 20:30:00+00:00,193.76,194.32,193.59,194.2,19208.866
3059,2025-01-01 20:45:00+00:00,194.19,194.56,194.09,194.36,15442.711
3060,2025-01-01 21:00:00+00:00,194.36,194.63,193.71,194.12,21938.009
3061,2025-01-01 21:15:00+00:00,194.12,195.33,194.11,195.07,28227.799
3062,2025-01-01 21:30:00+00:00,195.06,195.17,194.07,194.33,21282.375
3063,2025-01-01 21:45:00+00:00,194.33,194.69,194.07,194.69,12520.636
3064,2025-01-01 22:00:00+00:00,194.68,194.95,193.68,193.97,22356.052
3065,2025-01-01 22:15:00+00:00,193.96,194.47,193.9,194.11,17260.017
3066,2025-01-01 22:30:00+00:00,194.11,194.92,194.1,194.82,9842.667
3067,2025-01-01 22:45:00+00:00,194.83,194.93,194.41,194.53,12829.224
3068,2025-01-01 23:00:00+00:00,194.54,195.16,194.25,194.59,17935.75
